"longitude" "latitude" "date" "ozone"
"-87.88139" "30.49778" "08-01-2001" "43.5"
"-85.80222" "33.28111" "08-01-2001" "59.125"
"-86.13667" "32.49833" "08-01-2001" "51.125"
"-86.815" "33.55305" "08-01-2001" "55.375"
"-86.915" "33.48556" "08-01-2001" "56"
"-87.00361" "33.33111" "08-01-2001" "48.25"
"-87.30556" "33.45972" "08-01-2001" "58.875"
"-86.54916" "33.54528" "08-01-2001" "54"
"-86.81667" "33.38639" "08-01-2001" "43.5"
"-86.66917" "33.70472" "08-01-2001" "44.5"
"-86.9425" "33.80167" "08-01-2001" "44.625"
"-86.77389" "33.57833" "08-01-2001" "57.25"
"-87.33972" "34.34278" "08-01-2001" "49.5"
"-86.58305" "34.69083" "08-01-2001" "54.375"
"-88.0875" "30.76972" "08-01-2001" "41.75"
"-88.14111" "30.47444" "08-01-2001" "42.5"
"-86.25639" "32.40694" "08-01-2001" "50.125"
"-86.97694" "34.51861" "08-01-2001" "54.125"
"-86.825" "33.31694" "08-01-2001" "51.625"
"-88.20194" "32.36389" "08-01-2001" "45.875"
"-87.45972" "33.08953" "08-01-2001" "53.5"
"-109.46694" "32.11694" "08-01-2001" "51.25"
"-112.15305" "36.07167" "08-01-2001" "50"
"-112.14207" "33.4837" "08-01-2001" "74.9"
"-111.86463" "33.41048" "08-01-2001" "63.837"
"-112.06566" "33.56028" "08-01-2001" "70.638"
"-111.73289" "33.45256" "08-01-2001" "64.162"
"-112.19052" "33.56954" "08-01-2001" "75.288"
"-112.04601" "33.45793" "08-01-2001" "67.257"
"-111.91666" "33.47944" "08-01-2001" "68.688"
"-112.19222" "33.47445" "08-01-2001" "75.863"
"-112.07494" "33.40305" "08-01-2001" "77.443"
"-111.88377" "33.29894" "08-01-2001" "59.471"
"-111.935" "33.41195" "08-01-2001" "66.829"
"-112.0123" "33.818" "08-01-2001" "63.212"
"-111.79722" "33.98139" "08-01-2001" "65.9"
"-111.40859" "33.90482" "08-01-2001" "57.75"
"-111.60925" "33.54549" "08-01-2001" "60.738"
"-111.72417" "33.61083" "08-01-2001" "63.175"
"-111.67111" "33.71833" "08-01-2001" "58.875"
"-112.8311" "33.34885" "08-01-2001" "51.375"
"-112.095" "33.50364" "08-01-2001" "72.5"
"-110.97778" "32.22222" "08-01-2001" "52.5"
"-110.73639" "32.17444" "08-01-2001" "52.857"
"-110.87222" "32.20833" "08-01-2001" "56.571"
"-111.07111" "32.42528" "08-01-2001" "66.75"
"-110.77389" "32.0475" "08-01-2001" "48.143"
"-110.9817" "32.29587" "08-01-2001" "61.75"
"-111.28559" "33.29346" "08-01-2001" "57.857"
"-112.96193" "34.42904" "08-01-2001" "45.888"
"-114.49237" "32.68517" "08-01-2001" "33.75"
"-90.19111" "35.19667" "08-01-2001" "60.625"
"-93.81667" "34.64972" "08-01-2001" "52.25"
"-93.21917" "35.8325" "08-01-2001" "46.429"
"-92.27583" "34.75611" "08-01-2001" "39"
"-92.25945" "34.83055" "08-01-2001" "43.25"
"-122.26667" "37.79944" "08-01-2001" "15.25"
"-122.12028" "37.70778" "08-01-2001" "24.625"
"-121.7832" "37.68744" "08-01-2001" "28.75"
"-121.96083" "37.53556" "08-01-2001" "28"
"-122.03056" "37.65445" "08-01-2001" "25.875"
"-120.7625" "38.34" "08-01-2001" "67.25"
"-121.84222" "39.7575" "08-01-2001" "56"
"-121.61777" "39.71417" "08-01-2001" "64.375"
"-120.68056" "38.20194" "08-01-2001" "70.625"
"-122.01667" "39.20306" "08-01-2001" "52"
"-122.02472" "37.93861" "08-01-2001" "26.125"
"-121.64139" "38.01056" "08-01-2001" "37.5"
