"id","Admit","Gender","Dept"
"1","Admitted","Male","A"
"2","Admitted","Male","A"
"3","Admitted","Male","A"
"4","Admitted","Male","A"
"5","Admitted","Male","A"
"6","Admitted","Male","A"
"7","Admitted","Male","A"
"8","Admitted","Male","A"
"9","Admitted","Male","A"
"10","Admitted","Male","A"
"11","Admitted","Male","A"
"12","Admitted","Male","A"
"13","Admitted","Male","A"
"14","Admitted","Male","A"
"15","Admitted","Male","A"
"16","Admitted","Male","A"
"17","Admitted","Male","A"
"18","Admitted","Male","A"
"19","Admitted","Male","A"
"20","Admitted","Male","A"
"21","Admitted","Male","A"
"22","Admitted","Male","A"
"23","Admitted","Male","A"
"24","Admitted","Male","A"
"25","Admitted","Male","A"
"26","Admitted","Male","A"
"27","Admitted","Male","A"
"28","Admitted","Male","A"
"29","Admitted","Male","A"
"30","Admitted","Male","A"
"31","Admitted","Male","A"
"32","Admitted","Male","A"
"33","Admitted","Male","A"
"34","Admitted","Male","A"
"35","Admitted","Male","A"
"36","Admitted","Male","A"
"37","Admitted","Male","A"
"38","Admitted","Male","A"
"39","Admitted","Male","A"
"40","Admitted","Male","A"
"41","Admitted","Male","A"
"42","Admitted","Male","A"
"43","Admitted","Male","A"
"44","Admitted","Male","A"
"45","Admitted","Male","A"
"46","Admitted","Male","A"
"47","Admitted","Male","A"
"48","Admitted","Male","A"
"49","Admitted","Male","A"
"50","Admitted","Male","A"
"51","Admitted","Male","A"
"52","Admitted","Male","A"
"53","Admitted","Male","A"
"54","Admitted","Male","A"
"55","Admitted","Male","A"
"56","Admitted","Male","A"
"57","Admitted","Male","A"
"58","Admitted","Male","A"
"59","Admitted","Male","A"
"60","Admitted","Male","A"
"61","Admitted","Male","A"
"62","Admitted","Male","A"
"63","Admitted","Male","A"
"64","Admitted","Male","A"
"65","Admitted","Male","A"
"66","Admitted","Male","A"
"67","Admitted","Male","A"
"68","Admitted","Male","A"
"69","Admitted","Male","A"
"70","Admitted","Male","A"
"71","Admitted","Male","A"
"72","Admitted","Male","A"
"73","Admitted","Male","A"
"74","Admitted","Male","A"
"75","Admitted","Male","A"
"76","Admitted","Male","A"
"77","Admitted","Male","A"
"78","Admitted","Male","A"
"79","Admitted","Male","A"
"80","Admitted","Male","A"
